//LINE M16_CODE
@20 00000
@2C 11101
@2E 11110
@3F 11111
@41 00001
@42 00010
@43 00011
@44 00100
@45 00101
@46 00110
@47 00111
@48 01000
@49 01001
@4A 01010
@4B 01011
@4C 01100
@4D 01101
@4E 01110
@4F 01111
@50 10000
@51 10001
@52 10010
@53 10011
@54 10100
@55 10101
@56 10110
@57 10111
@58 11000
@59 11001
@5A 11010
@61 00001
@62 00010
@63 00011
@64 00100
@65 00101
@66 00110
@67 00111
@68 01000
@69 01001
@6A 01010
@6B 01011
@6C 01100
@6D 01101
@6E 01110
@6F 01111
@70 10000
@71 10001
@72 10010
@73 10011
@74 10100
@75 10101
@76 10110
@77 10111
@78 11000
@79 11001
@7A 11010
